"Periodo_ID","Anno","Mes_Numero","Mes_Nombre","Semestre","Fecha"
202601,2026,1,"Enero","S1",2026-01-01
202602,2026,2,"Febrero","S1",2026-02-01
202603,2026,3,"Marzo","S1",2026-03-01
202604,2026,4,"Abril","S1",2026-04-01
202605,2026,5,"Mayo","S1",2026-05-01
202606,2026,6,"Junio","S1",2026-06-01
202607,2026,7,"Julio","S2",2026-07-01
202608,2026,8,"Agosto","S2",2026-08-01
202609,2026,9,"Septiembre","S2",2026-09-01
202610,2026,10,"Octubre","S2",2026-10-01
202611,2026,11,"Noviembre","S2",2026-11-01
202612,2026,12,"Diciembre","S2",2026-12-01
